School,Nickname,City,State,Conference
Endicott College,Gulls,Beverly,MA,Conference of New England
Eureka College,Red Devils,Eureka,IL,St. Louis Intercollegiate Athletic Conference
"Fairleigh Dickinson University, Florham",Devils,Madison/Florham Park,NJ,MAC Freedom
Farmingdale State College,Rams,Farmingdale,NY,Skyline Conference
Ferrum College,Panthers,Ferrum,VA,Old Dominion Athletic Conference
Fitchburg State University,Falcons,Fitchburg,MA,Massachusetts State Collegiate Athletic Conference
Fontbonne University,Griffins,St. Louis,MO,St. Louis Intercollegiate Athletic Conference
Framingham State University,Rams,Framingham,MA,Massachusetts State Collegiate Athletic Conference
Franciscan University of Steubenville,Barons,Steubenville,OH,Presidents' Athletic Conference
Franklin & Marshall College,Diplomats,Lancaster,PA,Centennial Conference
Franklin College,Grizzlies,Franklin,IN,Heartland Collegiate Athletic Conference
Gallaudet University,Bison,Washington,DC,United East Conference
Geneva College,Golden Tornadoes,Beaver Falls,PA,Presidents' Athletic Conference
George Fox University,Bruins,Newberg,OR,Northwest Conference
Gettysburg College,Bullets,Gettysburg,PA,Centennial Conference
Gordon College,Fighting Scots,Wenham,MA,Conference of New England
Goucher College,Gophers,Towson,MD,Landmark Conference
Greensboro College,Pride,Greensboro,NC,USA South Athletic Conference
Greenville University,Panthers,Greenville,IL,St. Louis Intercollegiate Athletic Conference
Grinnell College,Pioneers,Grinnell,IA,Midwest Conference
Grove City College,Wolverines,Grove City,PA,Presidents' Athletic Conference
Guilford College,Quakers,Greensboro,NC,Old Dominion Athletic Conference
Gustavus Adolphus College,Gusties,St. Peter,MN,Minnesota Intercollegiate Athletic Conference
Gwynedd Mercy University,Griffins,Lower Gwynedd Township,PA,Atlantic East Conference
Hamilton College,Continentals,Clinton,NY,New England Small College Athletic Conference
Hamline University,Pipers,St. Paul,MN,Minnesota Intercollegiate Athletic Conference
Hampden–Sydney College,Tigers,Hampden Sydney,VA,Old Dominion Athletic Conference
Hanover College,Panthers,Hanover,IN,Heartland Collegiate Athletic Conference
Hardin–Simmons University,Cowboys and Cowgirls,Abilene,TX,Southern Collegiate Athletic Conference
University of Hartford,Hawks,West Hartford,CT,Conference of New England
Hartwick College,Hawks,Oneonta,NY,Empire 8
Haverford College,Fords,Haverford,PA,Centennial Conference
Heidelberg University,Student Princes,Tiffin,OH,Presidents' Athletic Conference
Hendrix College,Warriors,Conway,AR,Southern Collegiate Athletic Conference
Hilbert College,Hawks,Hamburg,NY,Allegheny Mountain Collegiate Conference
Hiram College,Terriers,Hiram,OH,Presidents' Athletic Conference
Hobart College,Statesmen,Geneva,NY,Liberty League
Hollins University,Nulls,Roanoke,VA,Old Dominion Athletic Conference
Hood College,Blazers,Frederick,MD,MAC Commonwealth
Hope College,Flying Dutchmen,Holland,MI,Michigan Intercollegiate Athletic Association
Houghton University,Highlanders,Houghton,NY,Empire 8
Howard Payne University,Yellow Jackets,Brownwood,TX,Southern Collegiate Athletic Conference
Hunter College,Hawks,New York,NY,City University of New York Athletic Conference
Huntingdon College,Hawks,Montgomery,AL,Southern Collegiate Athletic Conference
Husson University,Eagles,Bangor,ME,North Atlantic Conference
Illinois College,Blueboys and Lady Blues,Jacksonville,IL,Midwest Conference
Illinois Institute of Technology,Scarlet Hawks,Chicago,IL,Northern Athletics Collegiate Conference
Illinois Wesleyan University,Titans,Bloomington,IL,College Conference of Illinois and Wisconsin
Immaculata University,Mighty Macs,Immaculata,PA,Atlantic East Conference
Ithaca College,Bombers,Ithaca,NY,Liberty League
John Carroll University,Blue Streaks,University Heights,OH,Presidents' Athletic Conference
John Jay College of Criminal Justice,Bloodhounds,New York,NY,City University of New York Athletic Conference
Johns Hopkins University,Blue Jays,Baltimore,MD,Centennial Conference
Johnson & Wales University,Wildcats,Providence,RI,Conference of New England
Juniata College,Eagles,Huntingdon,PA,Landmark Conference
Kalamazoo College,Hornets,Kalamazoo,MI,Michigan Intercollegiate Athletic Association
Kean University,Cougars,Union Township,NJ,New Jersey Athletic Conference
